52 56
0 1 8 4 9 5 6 5 6 7 3 5 2 8 1 10 4 9 6 2 8 8 2 9 8 1 10 2 8 2 4 5 3 7 1 3 7 1 10 9 10 9 7 2 3 4 9 1 10 8 6 0 
11 9 2 4 8 4 1 1 7 7 8 2 8 4 3 8 9 5 6 3 7 2 10 7 10 1 10 7 3 9 9 9 8 5 3 10 3 2 4 1 6 8 1 2 3 3 2 9 1 7 5 12 
1 4 0 0 
4 14 4 0 
14 17 8 0 
17 18 4 0 
18 21 9 0 
21 24 8 0 
24 26 9 0 
26 35 1 0 
35 36 1 0 
36 47 3 0 
47 52 9 0 
1 9 0 0 
9 32 6 0 
32 41 5 0 
41 44 10 0 
44 45 2 0 
45 52 3 0 
1 7 0 0 
7 11 6 0 
11 12 3 0 
12 15 5 0 
15 29 1 0 
29 46 8 0 
46 49 4 0 
49 51 10 0 
51 52 6 0 
1 2 0 0 
2 5 1 0 
5 6 9 0 
6 10 5 0 
10 16 7 0 
16 22 10 0 
22 28 8 0 
28 31 2 0 
31 34 4 0 
34 37 7 0 
37 38 7 0 
38 39 1 0 
39 40 10 0 
40 48 9 0 
48 50 1 0 
50 52 8 0 
1 3 0 0 
3 8 8 0 
8 13 5 0 
13 19 2 0 
19 20 6 0 
20 23 2 0 
23 25 2 0 
25 27 8 0 
27 30 10 0 
30 33 2 0 
33 42 3 0 
42 43 9 0 
43 52 7 0 
52 1 0 2 
