52 56
0 3 3 2 3 4 1 3 6 3 6 5 10 8 8 3 4 5 10 4 10 8 2 6 3 2 9 4 4 6 6 6 2 1 7 3 3 4 9 5 8 4 1 6 2 4 4 5 1 3 1 0 
6 1 2 3 4 1 1 1 5 3 2 1 3 1 4 4 5 2 5 5 1 1 2 1 2 5 4 1 4 3 4 4 3 1 3 1 5 1 5 3 4 3 5 5 2 2 2 1 3 3 3 7 
1 2 0 0 
2 6 3 0 
6 8 4 0 
8 9 3 0 
9 12 6 0 
12 13 5 0 
13 28 10 0 
28 29 4 0 
29 35 4 0 
35 40 7 0 
40 43 5 0 
43 45 1 0 
45 47 2 0 
47 48 4 0 
48 52 5 0 
1 7 0 0 
7 11 1 0 
11 17 6 0 
17 23 4 0 
23 26 2 0 
26 31 2 0 
31 34 6 0 
34 44 1 0 
44 52 6 0 
1 3 0 0 
3 4 3 0 
4 16 2 0 
16 20 3 0 
20 21 4 0 
21 22 10 0 
22 24 8 0 
24 25 6 0 
25 37 3 0 
37 51 3 0 
51 52 1 0 
1 5 0 0 
5 15 3 0 
15 19 8 0 
19 30 10 0 
30 32 6 0 
32 33 6 0 
33 36 2 0 
36 39 3 0 
39 41 9 0 
41 42 8 0 
42 49 4 0 
49 50 1 0 
50 52 3 0 
1 10 0 0 
10 14 3 0 
14 18 8 0 
18 27 5 0 
27 38 9 0 
38 46 4 0 
46 52 4 0 
52 1 0 2 
