102 106
0 7 8 5 1 10 10 5 5 4 8 1 10 9 9 1 2 5 3 4 8 8 2 1 2 10 4 6 1 9 4 5 2 4 7 2 3 3 5 5 9 3 2 7 5 5 6 1 2 10 4 1 4 9 4 8 2 8 7 9 2 8 10 7 9 8 3 5 4 6 1 2 2 7 10 7 9 5 5 1 4 10 1 7 2 4 10 1 1 9 6 5 1 6 1 7 2 5 4 10 1 0 
11 3 10 6 2 5 7 5 10 9 2 7 7 5 9 1 7 7 3 9 6 8 8 2 10 7 3 3 6 1 2 6 5 8 3 5 3 4 1 9 6 6 3 2 5 1 5 4 10 7 2 7 6 4 7 9 9 9 4 4 6 4 7 2 4 4 1 8 1 5 5 6 2 1 8 2 9 7 4 5 10 1 4 5 3 2 3 7 1 3 6 5 4 4 4 7 10 9 8 1 5 12 
1 16 0 0 
16 17 1 0 
17 18 2 0 
18 19 5 0 
19 20 3 0 
20 24 4 0 
24 25 1 0 
25 28 2 0 
28 34 6 0 
34 35 4 0 
35 37 7 0 
37 42 3 0 
42 47 3 0 
47 51 6 0 
51 59 4 0 
59 64 7 0 
64 66 7 0 
66 74 8 0 
74 81 7 0 
81 86 4 0 
86 90 4 0 
90 100 9 0 
100 102 10 0 
1 2 0 0 
2 8 7 0 
8 10 5 0 
10 21 4 0 
21 26 8 0 
26 29 10 0 
29 40 1 0 
40 41 5 0 
41 55 9 0 
55 63 4 0 
63 67 10 0 
67 70 3 0 
70 75 6 0 
75 76 10 0 
76 78 7 0 
78 80 5 0 
80 85 1 0 
85 92 2 0 
92 99 5 0 
99 101 4 0 
101 102 1 0 
1 4 0 0 
4 11 5 0 
11 12 8 0 
12 15 1 0 
15 22 9 0 
22 32 8 0 
32 36 5 0 
36 38 2 0 
38 43 3 0 
43 49 2 0 
49 53 2 0 
53 68 4 0 
68 69 5 0 
69 72 4 0 
72 82 2 0 
82 91 10 0 
91 97 6 0 
97 102 2 0 
1 3 0 0 
3 9 8 0 
9 13 5 0 
13 14 10 0 
14 31 9 0 
31 39 4 0 
39 44 5 0 
44 45 7 0 
45 46 5 0 
46 50 5 0 
50 52 10 0 
52 54 1 0 
54 60 9 0 
60 61 9 0 
61 62 2 0 
62 65 8 0 
65 77 9 0 
77 79 9 0 
79 84 5 0 
84 88 7 0 
88 89 1 0 
89 94 1 0 
94 102 6 0 
1 5 0 0 
5 6 1 0 
6 7 10 0 
7 23 10 0 
23 27 2 0 
27 30 4 0 
30 33 9 0 
33 48 2 0 
48 56 1 0 
56 57 8 0 
57 58 2 0 
58 71 8 0 
71 73 1 0 
73 83 2 0 
83 87 1 0 
87 93 10 0 
93 95 1 0 
95 96 1 0 
96 98 7 0 
98 102 5 0 
102 1 0 2 
