52 56
0 8 2 9 10 10 9 6 9 2 1 9 6 8 10 2 6 4 8 3 2 2 2 3 8 2 9 9 7 1 5 7 4 10 5 6 3 4 1 9 4 2 6 9 6 10 2 9 3 5 8 0 
11 10 3 8 9 9 2 4 4 9 4 10 4 7 8 5 6 6 8 4 2 8 10 5 6 4 6 9 8 2 9 8 3 3 3 4 9 2 3 5 9 8 3 10 8 5 4 9 1 1 2 12 
1 15 0 0 
15 17 10 0 
17 18 6 0 
18 29 4 0 
29 38 7 0 
38 42 4 0 
42 43 2 0 
43 47 6 0 
47 48 2 0 
48 49 9 0 
49 52 3 0 
1 3 0 0 
3 8 2 0 
8 9 6 0 
9 11 9 0 
11 12 1 0 
12 13 9 0 
13 24 6 0 
24 25 3 0 
25 31 8 0 
31 37 5 0 
37 40 3 0 
40 41 9 0 
41 45 4 0 
45 46 6 0 
46 52 10 0 
1 2 0 0 
2 14 8 0 
14 16 8 0 
16 28 2 0 
28 34 9 0 
34 50 10 0 
50 52 5 0 
1 5 0 0 
5 6 10 0 
6 7 10 0 
7 23 9 0 
23 26 2 0 
26 30 2 0 
30 36 1 0 
36 51 6 0 
51 52 8 0 
1 4 0 0 
4 10 9 0 
10 19 2 0 
19 20 8 0 
20 21 3 0 
21 22 2 0 
22 27 2 0 
27 32 9 0 
32 33 7 0 
33 35 4 0 
35 39 5 0 
39 44 1 0 
44 52 9 0 
52 1 0 2 
